id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method,VelocitySolid
3973,151.226771753538,-33.9311366915047,10.3999996185303,0.0,0.0,0.0,0,0,0,0,0,0,0,0,97.3,0,0,0,"2016-11-16 14:43:44.738","speed 2 -1",2
3974,151.226771799612,-33.9311366560103,10.3999996185303,0.0,0.0,0.0,0,0,0,0,0,0,0,0,97.4,0,0,0,"2016-11-16 14:43:44.837","speed 2 -1",2
3975,151.226771838533,-33.9311366232159,10.3999996185303,0.0,0.0,0.0,0,0,0,0,0,0,0,0,97.4,0,0,0,"2016-11-16 14:43:44.937","speed 2 -1",2
3976,151.226771822838,-33.9311366354948,10.3999996185303,0.0,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,97.4,0,0,0,"2016-11-16 14:43:45.032","speed 2 -1",2
3977,151.226771838992,-33.9311366194139,10.3999996185303,0.0,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,97.2,0,0,0,"2016-11-16 14:43:45.138","speed 2 -1",2
3978,151.226771950003,-33.9311365065079,10.3999996185303,0.0,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,97.2,0,0,0,"2016-11-16 14:43:45.237","speed 2 -1",2
3979,151.226771898702,-33.9311365117014,10.3999996185303,0.0,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,97.1,0,0,0,"2016-11-16 14:43:45.338","speed 2 -1",2
3980,151.22677200652,-33.9311363879115,10.3999996185303,0.0,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,97.0,0,0,0,"2016-11-16 14:43:45.438","speed 2 -1",2
3981,151.226772012602,-33.9311363556291,10.3999996185303,0.0,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,97.0,0,0,0,"2016-11-16 14:43:45.533","speed 2 -1",2
3982,151.226772099442,-33.9311362260093,10.3999996185303,0.100000001490116,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,96.9,0,0,0,"2016-11-16 14:43:45.634","speed 2 -1",2
3983,151.226772103132,-33.9311362009297,10.3999996185303,0.100000001490116,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,96.8,50,14700,-9443,"2016-11-16 14:43:45.733","speed 2 -1",2
3984,151.226772226568,-33.9311359460308,10.3999996185303,0.100000001490116,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,96.7,50,14700,-9443,"2016-11-16 14:43:45.847","speed 2 -1",2
3985,151.226772259216,-33.931135848522,10.3999996185303,0.100000001490116,0.0,0.0,-92,-91,-87,-100,-92,-98,-101,-108,96.6,50,14700,-9443,"2016-11-16 14:43:45.934","speed 2 -1",2
3986,151.226772315228,-33.9311357297614,10.3999996185303,0.100000001490116,0.0,0.0,-100,-100,-100,-101,-100,-100,-102,-108,96.6,50,14700,-9443,"2016-11-16 14:43:46.044","speed 2 -1",2
3987,151.226772362561,-33.9311356348311,10.3999996185303,0.100000001490116,0.0,0.0,-100,-100,-100,-101,-100,-100,-102,-108,96.5,50,14700,-9443,"2016-11-16 14:43:46.142","speed 2 -1",2
3988,151.226772399582,-33.9311355461677,10.3999996185303,0.0,0.0,0.0,-100,-100,-100,-101,-100,-100,-102,-108,96.5,50,14700,-9443,"2016-11-16 14:43:46.244","speed 2 -1",2
3989,151.226772434629,-33.9311354592246,10.3999996185303,0.0,0.0,0.0,-100,-100,-100,-101,-100,-100,-102,-108,96.5,50,14700,-9443,"2016-11-16 14:43:46.335","speed 2 -1",2
3990,151.22677238071,-33.931135373569,10.5,0.0,0.0,0.0,-100,-100,-100,-101,-100,-100,-102,-108,96.5,50,14700,-9443,"2016-11-16 14:43:46.443","speed 2 -1",2
3991,151.22677235674,-33.9311353188918,10.5,0.0,0.0,0.0,-100,-100,-100,-101,-100,-100,-102,-108,96.5,50,14700,-9443,"2016-11-16 14:43:46.539","speed 2 -1",2
3992,151.226772402221,-33.9311353547892,10.5,0.0,0.0,0.0,-100,-100,-100,-101,-100,-100,-102,-108,96.5,50,14700,-9443,"2016-11-16 14:43:46.634","speed 2 -1",2
