id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method,VelocitySolid
23058,151.22673985615,-33.9310086343659,10.1000003814697,0.0,0.0,0.0,-100,-100,-91,-100,-101,-79,-102,-108,100.6,62,15039,-10009,"2016-11-17 11:45:43.990","speed 9 -1",9
23059,151.226739865134,-33.9310087014546,10.1000003814697,0.0,0.0,0.0,-100,-100,-91,-100,-101,-79,-102,-108,100.6,62,15039,-10009,"2016-11-17 11:45:44.082","speed 9 -1",9
23060,151.226739881408,-33.9310086912523,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-102,-97,-102,-108,100.6,62,15039,-10009,"2016-11-17 11:45:44.182","speed 9 -1",9
23061,151.226739852944,-33.931008754983,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-102,-97,-102,-108,100.6,62,15039,-10009,"2016-11-17 11:45:44.283","speed 9 -1",9
23062,151.226739805488,-33.9310088050538,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-102,-97,-102,-108,100.5,62,15039,-10009,"2016-11-17 11:45:44.385","speed 9 -1",9
23063,151.226739805488,-33.9310088050538,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-102,-97,-102,-108,100.5,62,15039,-10009,"2016-11-17 11:45:44.484","speed 9 -1",9
23064,151.226739805108,-33.9310090449812,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-102,-97,-102,-108,100.7,62,15025,-10085,"2016-11-17 11:45:44.585","speed 9 -1",9
23065,151.226739793188,-33.9310090222468,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-102,-97,-102,-108,100.9,62,15025,-10085,"2016-11-17 11:45:44.685","speed 9 -1",9
23066,151.226739701789,-33.9310091086153,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-102,-97,-102,-108,101.1,62,15025,-10085,"2016-11-17 11:45:44.785","speed 9 -1",9
23067,151.226739718323,-33.9310090317171,10.1000003814697,0.0,0.0,0.0,-100,-101,-101,-98,-102,-97,-102,-108,101.2,62,15025,-10085,"2016-11-17 11:45:44.899","speed 9 -1",9
